"leaid","enr_tot_d","region_d","nschools_elig","epp_d_imp","nschools","enr_tot_imp_avg_d","sme_pct_frp_avg_d","strat_d","distance_d_y","lottery_d_start","lottery_d_end"
4016740,290,3,1,9807.189453125,2,212,0.3584905564785,"4",0.219537734985352,304,304
4017020,158,3,1,14736.841796875,2,112,0.455357134342194,"5",0.107697539031506,37923,37923
4017040,269,3,1,10961.3896484375,1,269,0.821561336517334,"3",0.125211849808693,26139,26139
4017190,934,3,1,8114.84912109375,3,525,0.491428583860397,"5",0.0979575887322426,13166,13166
4017220,471,3,1,9060.728515625,2,357,0.579831957817078,"5",0.0917498469352722,32428,32428
4017250,13799,3,17,8135.0107421875,25,405.882354736328,0.742642283439636,"3",0.116356015205383,33128,33144
4017280,251,3,1,9333.3330078125,2,179,0.949720680713654,"1",0.146708056330681,23614,23614
4017310,153,3,1,8741.2587890625,1,153,0.647058844566345,"3",0.12727989256382,6236,6236
4017370,236,3,1,13375.5654296875,2,167,0.425149708986282,"5",0.109777316451073,7221,7221
4017580,998,3,1,8061.09619140625,3,454,0.702643156051636,"3",0.118421658873558,35981,35981
4017700,315,3,1,7287.037109375,1,315,0.517460346221924,"5",0.0955227017402649,20547,20547
4017760,513,3,1,7302.158203125,2,360,0.722222208976746,"3",0.116248674690723,2950,2950
4017850,1226,3,1,7151.00390625,3,639,0.65727698802948,"3",0.127882525324821,16245,16245
4017880,1312,3,1,7003.85791015625,3,643,0.740279912948608,"3",0.119794324040413,18498,18498
4018240,934,3,1,6164.36767578125,1,934,0.448608130216599,"5",0.110586814582348,21280,21280
4018270,100,3,1,9296.6103515625,2,80,0.662500023841858,"3",0.125118345022202,5433,5433
4018390,238,3,1,8555.5556640625,2,168,0.708333313465118,"3",0.118605867028236,38255,38255
4018480,144,3,1,7737.5,1,144,0.798611104488373,"3",0.127175033092499,7376,7376
4018570,371,3,1,6949.19775390625,1,371,0.57681941986084,"5",0.0937919691205025,5626,5626
4018660,279,3,1,9108.208984375,2,204,0.754901945590973,"3",0.118633531033993,15395,15395
4018700,1793,3,1,7230.8125,3,888,0.787162184715271,"3",0.128666073083878,5013,5013
4018870,121,3,1,10010,1,121,0.917355358600616,"1",0.145320311188698,4331,4331
4018900,177,3,1,15456.25,1,177,0.225988700985909,"4",0.206628412008286,13777,13777
4018960,99,3,1,14943.396484375,1,99,0.898989915847778,"1",0.15002715587616,5635,5635
4018990,1109,3,1,7650.40673828125,3,560,0.776785731315613,"3",0.123377680778503,31254,31254
4019080,1443,3,1,6884.53466796875,3,743,0.496635258197784,"5",0.10092069208622,25814,25814
4019200,649,3,1,9986.3017578125,1,649,0.767334342002869,"3",0.12002894282341,28769,28769
4019260,258,3,1,8894.927734375,2,188,0.723404228687286,"3",0.115832529962063,731,731
4019290,275,3,1,9064.5166015625,2,191,0.795811533927917,"3",0.124662093818188,30425,30425
4019380,310,3,1,7775.568359375,2,240,0.679166674613953,"3",0.12301617115736,11667,11667
4019410,215,3,1,8679.0126953125,2,146,0.691780805587769,"3",0.12103820592165,33219,33219
4019500,329,3,1,6235.98828125,1,329,0.571428596973419,"5",0.0943252369761467,4508,4508
4019560,1788,3,1,7241.71630859375,3,1018,0.72396856546402,"3",0.122040815651417,2840,2840
4019620,262,3,1,15967.7421875,2,189,0.486772477626801,"5",0.103961125016212,5191,5191
